origin,Alaska,Atlanta,Texas,Maryland,Massachusetts,Illinois,Texas,Denver,Hawaii,Texas,Indiana,Alabama,Nevada,California,Tennessee,Florida,Louisiana,New York,New Jersey,California,Pennsylvania,Arizona,Oregon,Texas,California,San Francisco,California,Washington,Florida,Arizona,Washington
Alaska,0.0,1094.304,1018.314,1078.5639999999999,1083.29,916.866,980.9660000000001,770.346,895.482,1052.146,968.5219999999999,1186.028,738.142,752.628,1008.634,1286.5780000000002,1103.6100000000001,1081.1599999999999,1079.0439999999999,645.364,1082.28,818.49,495.108,1026.644,788.24,644.75,657.5840000000001,461.418,1221.714,852.7459999999999,1081.002
Atlanta,1094.304,0.0,263.056,185.47000000000003,301.022,188.88,231.48399999999998,389.08400000000006,1444.978,225.344,137.422,91.726,560.242,621.6020000000001,108.28599999999999,194.76800000000003,136.466,239.906,237.95999999999998,684.216,214.04999999999998,510.946,697.528,283.49,606.974,686.8560000000001,678.406,700.614,134.074,494.48999999999995,174.256
Texas,1018.314,263.056,0.0,433.20000000000005,544.802,314.35200000000003,58.70399999999999,248.154,1205.8739999999998,47.14,297.88599999999997,308.40999999999997,348.342,394.0179999999999,180.094,358.016,147.542,485.974,483.53200000000004,479.99600000000004,461.61,279.30999999999995,549.344,23.669999999999998,371.344,482.38199999999995,471.26,569.142,300.964,254.04400000000004,423.23400000000004
Maryland,1078.5639999999999,185.47000000000003,433.20000000000005,0.0,115.57,194.64600000000002,389.456,484.464,1558.55,402.09399999999994,163.882,219.218,675.488,744.49,254.64600000000002,307.7,321.30999999999995,54.488,52.494,785.722,28.826,643.3960000000001,757.724,455.658,737.056,788.3979999999999,782.454,748.8199999999999,274.144,634.332,11.432
Massachusetts,1083.29,301.022,544.802,115.57,0.0,273.326,498.19399999999996,567.7239999999999,1634.362,515.7180000000001,259.062,327.13,761.962,833.2860000000001,364.894,404.492,436.836,61.12200000000001,63.08200000000001,863.4219999999999,87.012,738.168,814.608,567.672,829.31,866.0680000000001,861.484,799.4159999999999,380.586,732.406,126.77000000000001
Illinois,916.866,188.88,314.35200000000003,194.64600000000002,273.326,0.0,258.03000000000003,294.85200000000003,1366.336,302.124,52.62599999999999,277.49,488.756,559.96,154.622,382.472,267.90200000000004,228.994,226.152,593.556,213.71599999999998,466.42600000000004,564.172,337.916,556.3979999999999,596.2239999999999,590.8899999999999,557.314,322.95399999999995,462.956,191.15200000000002
Texas,980.9660000000001,231.48399999999998,58.70399999999999,389.456,498.19399999999996,258.03000000000003,0.0,212.882,1218.8220000000001,72.452,245.54200000000003,291.634,343.684,398.01599999999996,135.044,357.004,142.20799999999997,440.804,438.25,473.656,417.288,284.408,524.5680000000001,81.308,379.87600000000003,476.17600000000004,466.078,540.1179999999999,294.91599999999994,264.848,380.092
Denver,770.346,389.08400000000006,248.154,484.464,567.7239999999999,294.85200000000003,212.882,0.0,1074.28,282.48,321.046,471.22799999999995,194.56800000000004,266.99800000000005,282.12399999999997,554.596,347.33200000000005,523.3159999999999,520.4760000000001,302.08400000000006,506.418,188.39600000000002,315.642,257.98199999999997,267.87800000000004,304.764,298.262,327.982,489.28,198.19599999999997,478.908
Hawaii,895.482,1444.978,1205.8739999999998,1558.55,1634.362,1366.336,1218.8220000000001,1074.28,0.0,1252.6219999999998,1395.324,1510.232,887.086,823.398,1337.9180000000001,1562.078,1352.922,1595.1820000000002,1592.344,772.92,1579.726,934.838,834.604,1193.3700000000001,839.0260000000001,770.2460000000001,776.106,861.802,1506.8319999999999,954.46,1553.166
Texas,1052.146,225.344,47.14,402.09399999999994,515.7180000000001,302.124,72.452,282.48,1252.6219999999998,0.0,278.354,263.822,394.31399999999996,441.02399999999994,155.692,310.88800000000003,101.996,455.808,453.488,525.8800000000001,430.814,326.282,589.846,60.95399999999999,418.48199999999997,528.2919999999999,517.3299999999999,607.69,254.24800000000002,301.18399999999997,391.68
Indiana,968.5219999999999,137.422,297.88599999999997,163.882,259.062,52.62599999999999,245.54200000000003,321.046,1395.324,278.354,0.0,225.048,511.608,580.796,123.44600000000001,330.14599999999996,229.42199999999997,207.036,204.252,622.8319999999999,187.466,481.20399999999995,604.96,321.50399999999996,574.066,625.512,619.27,600.6999999999999,271.352,473.93999999999994,157.91600000000003
Alabama,1186.028,91.726,308.40999999999997,219.218,327.13,277.49,291.634,471.22799999999995,1510.232,263.822,225.048,0.0,632.324,689.3720000000001,189.81400000000002,105.268,161.978,268.762,267.638,759.68,244.0,576.038,783.4680000000001,324.774,671.46,762.2779999999999,753.052,788.49,55.238,555.812,208.12600000000003
Nevada,738.142,560.242,348.342,675.488,761.962,488.756,343.684,194.56800000000004,887.086,394.31399999999996,511.608,632.324,0.0,73.58200000000001,452.27200000000005,700.294,485.19999999999993,716.34,713.5060000000001,131.668,698.5279999999999,82.422,243.098,344.538,85.326,134.042,123.04400000000001,280.24,638.6,117.04600000000002,669.246
California,752.628,621.6020000000001,394.0179999999999,744.49,833.2860000000001,559.96,398.01599999999996,266.99800000000005,823.398,441.02399999999994,580.796,689.3720000000001,73.58200000000001,0.0,514.59,751.05,536.8439999999999,786.56,783.732,110.44800000000001,768.1400000000001,114.77599999999998,265.812,386.46799999999996,35.910000000000004,111.73599999999999,98.36000000000001,308.84000000000003,691.392,142.068,737.88
Tennessee,1008.634,108.28599999999999,180.094,254.64600000000002,364.894,154.622,135.044,282.12399999999997,1337.9180000000001,155.692,123.44600000000001,189.81400000000002,452.27200000000005,514.59,0.0,280.82399999999996,115.44800000000001,306.582,304.082,575.93,282.682,405.264,593.67,203.21999999999997,501.172,578.5699999999999,570.126,599.346,214.97399999999996,390.74399999999997,245.14600000000002
Florida,1286.5780000000002,194.76800000000003,358.016,307.7,404.492,382.472,357.004,554.596,1562.078,310.88800000000003,330.14599999999996,105.268,700.294,751.05,280.82399999999996,0.0,215.09400000000002,351.118,350.57800000000003,830.642,328.616,636.3040000000001,869.892,368.976,729.29,833.156,822.962,878.348,65.94,612.02,297.496
Louisiana,1103.6100000000001,136.466,147.542,321.30999999999995,436.836,267.90200000000004,142.20799999999997,347.33200000000005,1352.922,101.996,229.42199999999997,161.978,485.19999999999993,536.8439999999999,115.44800000000001,215.09400000000002,0.0,375.798,373.764,615.6399999999999,350.036,422.27,662.484,162.90999999999997,516.2779999999999,618.146,607.8919999999999,674.946,154.64,399.366,310.226
New York,1081.1599999999999,239.906,485.974,54.488,61.12200000000001,228.994,440.804,523.3159999999999,1595.1820000000002,455.808,207.036,268.762,716.34,786.56,306.582,351.118,375.798,0.0,2.842,822.518,25.912000000000003,688.22,784.458,508.638,780.7779999999999,825.1819999999999,819.884,772.5079999999999,322.96000000000004,680.7420000000001,65.65
New Jersey,1079.0439999999999,237.95999999999998,483.53200000000004,52.494,63.08200000000001,226.152,438.25,520.4760000000001,1592.344,453.488,204.252,267.638,713.5060000000001,783.732,304.082,350.57800000000003,373.764,2.842,0.0,819.6760000000002,24.188000000000002,685.428,781.7079999999999,506.2180000000001,777.9680000000001,822.3419999999999,817.0419999999999,769.8100000000001,321.93,677.982,63.734
California,645.364,684.216,479.99600000000004,785.722,863.4219999999999,593.556,473.656,302.08400000000006,772.92,525.8800000000001,622.8319999999999,759.68,131.668,110.44800000000001,575.93,830.642,615.6399999999999,822.518,819.6760000000002,0.0,806.814,207.90999999999997,171.67399999999998,476.076,146.238,2.6799999999999997,12.274,217.83200000000002,768.2800000000001,240.61,780.504
Pennsylvania,1082.28,214.04999999999998,461.61,28.826,87.012,213.71599999999998,417.288,506.418,1579.726,430.814,187.466,244.0,698.5279999999999,768.1400000000001,282.682,328.616,350.036,25.912000000000003,24.188000000000002,806.814,0.0,668.332,773.762,484.146,761.494,809.486,803.8580000000001,763.3,298.48400000000004,660.0100000000001,39.814
Arizona,818.49,510.946,279.30999999999995,643.3960000000001,738.168,466.42600000000004,284.408,188.39600000000002,934.838,326.282,481.20399999999995,576.038,82.422,114.77599999999998,405.264,636.3040000000001,422.27,688.22,685.428,207.90999999999997,668.332,0.0,323.52,272.31399999999996,96.02799999999999,210.00599999999997,197.674,358.462,576.876,34.666,636.0439999999999
Oregon,495.108,697.528,549.344,757.724,814.608,564.172,524.5680000000001,315.642,834.604,589.846,604.96,783.4680000000001,243.098,265.812,593.67,869.892,662.484,784.458,781.7079999999999,171.67399999999998,773.762,323.52,0.0,552.7800000000001,299.92800000000005,172.24800000000002,182.338,46.583999999999996,804.358,357.908,755.016
Texas,1026.644,283.49,23.669999999999998,455.658,567.672,337.916,81.308,257.98199999999997,1193.3700000000001,60.95399999999999,321.50399999999996,324.774,344.538,386.46799999999996,203.21999999999997,368.976,162.90999999999997,508.638,506.2180000000001,476.076,484.146,272.31399999999996,552.7800000000001,0.0,362.18,478.3979999999999,466.91800000000006,574.366,314.07,245.11199999999997,445.596
California,788.24,606.974,371.344,737.056,829.31,556.3979999999999,379.87600000000003,267.87800000000004,839.0260000000001,418.48199999999997,574.066,671.46,85.326,35.910000000000004,501.172,729.29,516.2779999999999,780.7779999999999,777.9680000000001,146.238,761.494,96.02799999999999,299.92800000000005,362.18,0.0,147.468,134.098,342.192,670.896,117.30399999999999,729.984
San Francisco,644.75,686.8560000000001,482.38199999999995,788.3979999999999,866.0680000000001,596.2239999999999,476.17600000000004,304.764,770.2460000000001,528.2919999999999,625.512,762.2779999999999,134.042,111.73599999999999,578.5699999999999,833.156,618.146,825.1819999999999,822.3419999999999,2.6799999999999997,809.486,210.00599999999997,172.24800000000002,478.3979999999999,147.468,0.0,13.376000000000001,218.48600000000005,770.8180000000001,242.618,783.1819999999999
California,657.5840000000001,678.406,471.26,782.454,861.484,590.8899999999999,466.078,298.262,776.106,517.3299999999999,619.27,753.052,123.04400000000001,98.36000000000001,570.126,822.962,607.8919999999999,819.884,817.0419999999999,12.274,803.8580000000001,197.674,182.338,466.91800000000006,134.098,13.376000000000001,0.0,228.27399999999997,760.882,230.016,777.072
Washington,461.418,700.614,569.142,748.8199999999999,799.4159999999999,557.314,540.1179999999999,327.982,861.802,607.69,600.6999999999999,788.49,280.24,308.84000000000003,599.346,878.348,674.946,772.5079999999999,769.8100000000001,217.83200000000002,763.3,358.462,46.583999999999996,574.366,342.192,218.48600000000005,228.27399999999997,0.0,812.4979999999998,392.33000000000004,746.832
Florida,1221.714,134.074,300.964,274.144,380.586,322.95399999999995,294.91599999999994,489.28,1506.8319999999999,254.24800000000002,271.352,55.238,638.6,691.392,214.97399999999996,65.94,154.64,322.96000000000004,321.93,768.2800000000001,298.48400000000004,576.876,804.358,314.07,670.896,770.8180000000001,760.882,812.4979999999998,0.0,553.914,263.11799999999994
Arizona,852.7459999999999,494.48999999999995,254.04400000000004,634.332,732.406,462.956,264.848,198.19599999999997,954.46,301.18399999999997,473.93999999999994,555.812,117.04600000000002,142.068,390.74399999999997,612.02,399.366,680.7420000000001,677.982,240.61,660.0100000000001,34.666,357.908,245.11199999999997,117.30399999999999,242.618,230.016,392.33000000000004,553.914,0.0,626.512
Washington,1081.002,174.256,423.23400000000004,11.432,126.77000000000001,191.15200000000002,380.092,478.908,1553.166,391.68,157.91600000000003,208.12600000000003,669.246,737.88,245.14600000000002,297.496,310.226,65.65,63.734,780.504,39.814,636.0439999999999,755.016,445.596,729.984,783.1819999999999,777.072,746.832,263.11799999999994,626.512,0.0
